Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
2.425352750,0,1,1,1,0
2.425353000,0,1,1,0,0
2.425353250,0,1,1,1,0
2.425353500,0,1,1,0,0
2.425353750,0,1,1,1,0
2.425354000,0,1,1,0,0
2.425354250,0,1,1,1,0
2.425354500,0,1,1,1,1
2.425356500,0,1,1,0,0
2.425356750,0,1,1,1,0
2.425357000,0,1,1,0,0
2.425357250,0,1,1,1,0
2.425357500,0,1,1,0,0
2.425357750,0,1,1,1,0
2.425358000,0,1,1,0,0
2.425358250,0,1,1,1,0
2.425358500,0,1,1,0,0
2.425358750,0,1,1,1,0
2.425359000,0,1,1,0,0
2.425359250,0,1,1,1,0
2.425359500,0,1,1,0,0
2.425359750,0,1,1,1,0
2.425360000,0,1,1,0,0
2.425360250,0,1,1,1,0
2.425360500,0,1,1,1,1
2.425362500,0,1,1,0,0
2.425362750,0,1,1,1,0
2.425363000,0,1,1,0,0
2.425363250,0,1,1,1,0
2.425363500,0,1,1,0,0
2.425363750,0,1,1,1,0
2.425364000,0,1,1,0,0
2.425364250,0,1,1,1,0
2.425364500,0,1,1,0,0
2.425364750,0,1,1,1,0
2.425365000,0,1,1,0,0
2.425365250,0,1,1,1,0
2.425365500,0,1,1,0,0
2.425365750,0,1,1,1,0
2.425366000,0,1,1,0,0
2.425366250,0,1,1,1,0
2.425366500,0,1,1,1,1
2.425368500,0,1,1,0,0
2.425368750,0,1,1,1,0
2.425369000,0,1,1,0,0
2.425369250,0,1,1,1,0
2.425369500,0,1,1,0,0
2.425369750,0,1,1,1,0
